UserId,NumPosts
13736411,2
13766327,2
13097490,8
13325736,2
12782325,2
13806159,4
14238757,2
14636029,18
14694334,3
7036501,2
12240014,4
6394434,2
13030779,2
13837588,2
12779765,2
13916727,17
13388372,1
13502889,2
14622244,2
7988933,10
13051515,3
10972804,3
13678769,2
12312274,2
14130308,3
7971006,4
12973333,6
10001389,6
13061109,6
11621248,1
13843453,6
14108584,5
10177756,6
11109397,4
9693777,3
13078972,2
13401713,2
12048823,1
11013566,2
14418374,1
14665605,2
12679387,2
12809506,2
12177205,1
10213214,6
12999982,4
13295681,4
13355729,3
13568108,14
8832675,1
8913051,3
13381459,1
14861379,6
14716234,5
14532649,3
9014522,2
14731519,2
12337430,4
12287835,3
11692715,35
13459122,2
13307107,2
10508227,33
13896968,4
14015227,2
8139605,3
13904067,2
14125489,2
14014925,4
10768416,2
12814832,1
1475378,14
14376458,2
14326167,2
13507897,2
14103995,2
14564370,17
14716140,2
12940232,6
13703615,10
8686197,2
7511387,2
13213638,2
7812895,2
13591347,8
10010520,3
13925939,3
12596554,5
14263546,32
14657045,2
9974361,4
13150699,2
5045346,3
13598463,5
13964707,6
12707064,13
12725321,2
12076089,3
14522341,2
12638068,2
13348571,3
13265608,2
14129293,2
13250055,2
3429999,6
12819575,2
6540029,1
4719590,3
13884444,9
12495768,3
14253439,3
14447248,7
14210715,2
14853982,8
9239412,29
9118061,5
14728249,2
13069537,3
13368269,4
11542679,14
14885502,2
12689074,32
8758620,13
12847281,2
13265992,2
13524846,9
13504606,5
14085813,2
14111332,15
12078142,1
13463757,2
13466501,1
6719415,2
13749314,3
14282472,4
3625603,2
11881261,5
9763576,2
13326823,2
13886012,4
7658078,6
2430821,8
12886234,23
13442613,2
13800013,3
9034166,2
14265279,2
14515802,4
14803340,21
12882284,8
14503477,3
12767143,2
9563933,3
13221814,24
14014018,2
14123690,2
14383381,3
12989685,7
11024344,3
12643005,2
8405753,2
9630995,2
13581111,6
13534256,7
14677798,6
7044836,2
13064098,3
13086990,8
11861132,3
13541679,3
12693038,5
10808045,2
13799542,2
12679580,6
13174218,10
13407615,4
13627689,7
13733277,3
3317870,1
14134351,2
13633837,3
14222337,2
14333161,3
12399192,4
10885754,1
12851299,1
13377922,6
12513144,4
13169284,1
12298087,5
9068744,4
14411867,3
9907694,5
12778634,68
13073677,49
12730696,8
7321529,2
14185436,2
